Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1 uF,C_0402_1005Metric,110.38,-131.4,180,top
C2,0.1 uF,C_0402_1005Metric,122.22,-134.825,0,top
C3,0.1 uF,C_0402_1005Metric,120.9,-131.3125,0,top
C4,0.1 uF,C_0402_1005Metric,109.45,-135.05,180,top
C5,0.1 uF,C_0402_1005Metric,117.275,-125.13,90,top
C6,0.1 uF,C_0402_1005Metric,116.25,-125.4,90,top
C7,0.1 uF,C_0402_1005Metric,120.62,-130.325,0,top
C8,0.1 uF,C_0402_1005Metric,116.475,-141.18,-90,top
C9,1 uF,C_0402_1005Metric,119.58,-129.2,45,top
C10,0.1 uF,C_0402_1005Metric,112.925,-124.95,180,top
C12,0.1 uF,C_0402_1005Metric,115.275,-126.85,90,top
C13,0.1 uF,C_0402_1005Metric,117.45,-141.45,-90,top
C14,1 uF,C_0402_1005Metric,118.78,-128.6,45,top
C15,10 uF,C_0603_1608Metric,109.525,-113.85,180,top
C16,10 uF,C_0603_1608Metric,109.425,-111.65,180,top
C17,33 pF,C_0402_1005Metric,111.15,-142.3,-90,top
C18,33 pF,C_0402_1005Metric,116.5,-143.175,90,top
D1,1N4148WS,D_SOD-323,121.075,-112.625,90,top
D2,LED,LED_0402_1005Metric,123.05,-143.575,180,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,115,-102.5,180,top
R1,5.1k,R_0402_1005Metric,122.24,-103.325,0,top
R2,5.1k,R_0402_1005Metric,122.29,-101.6,0,top
R3,27,R_0402_1005Metric,116.21,-128.325,90,top
R4,27,R_0402_1005Metric,117.15,-128.325,-90,top
R5,1k,R_0402_1005Metric,115.05,-139.55,90,top
R6,10k,R_0402_1005Metric,110.375,-124.8,-90,top
R7,1k,R_0402_1005Metric,110.84,-122.05,180,top
R8,5k6,R_0402_1005Metric,123.475,-120.425,-90,top
R9,10k,R_0402_1005Metric,123.475,-123.35,-90,top
R10,470,R_0402_1005Metric,123.06,-144.575,180,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,111.025,-118.6,-90,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,115.48,-134.2625,0,top
U2,MCP1700x-330xxTT,SOT-23,112.825,-112.75,-90,top
U3,W25Q16JVZPIQ TR,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,111.55,-127.025,0,top
Y1,12 MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,113.825,-142.275,180,top
