Name,Comment,Designator,Footprint,JLCPCB Part #,Quantity,Links
CL10A106MA8NRNC,10uF,"C15,C16",C_0603_1608Metric,C96446,2,https://jlcpcb.com/partdetail/97651-CL10A106MA8NRNC/C96446
CL05A105KA5NQNC,1uF,"C9,C14",C_0402_1005Metric,C52923,2,https://jlcpcb.com/partdetail/53938-CL05A105KA5NQNC/C52923 
MCP1700T-3302E/TT LDO,MCP1700x-330xxTT,U2,SOT-23,C39051,1,https://jlcpcb.com/partdetail/MicrochipTech-MCP1700T_3302ETT/C39051
0402CG330J500NT,33pF,"C18,C17",C_0402_1005Metric,C1562,2,https://jlcpcb.com/partdetail/1914-0402CG330J500NT/C1562
0402WGF1001TCE,1k,"R7,R5",R_0402_1005Metric,C11702,2,https://jlcpcb.com/partdetail/12256-0402WGF1001TCE/C11702
RCT0227RJLF,27,"R3,R4",R_0402_1005Metric,C174257,2,https://jlcpcb.com/partdetail/HKR_Hong_Kong_Resistors-RCT0227RJLF/C174257
0402WGF5101TCE,5.1k,"R2,R1",R_0402_1005Metric,C25905,2,https://jlcpcb.com/partdetail/26648-0402WGF5101TCE/C25905
X322512MSB4SI oscillator,12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002,1,https://jlcpcb.com/partdetail/YXC_CrystalOscillators-X322512MSB4SI/C9002
0402WGF5601TCE ,5k6,R8,R_0402_1005Metric,C25908,1,https://jlcpcb.com/partdetail/26651-0402WGF5601TCE/C25908
1N4148WS diode,1N4148WS,D1,D_SOD-323,C2128,1,https://jlcpcb.com/partdetail/2485-1N4148WS/C2128
0402WGF470JTCE,470,R10,R_0402_1005Metric,C25118,1,https://jlcpcb.com/partdetail/25861-0402WGF470JTCE/C25118
RP2040,RP2040,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040,1,https://jlcpcb.com/partdetail/RaspberryPi-RP2040/C2040
CL05B104KO5NNNC,100nF,"C8,C7,C13,C5,C12,C1,C2,C6,C4,C10,C3,",C_0402_1005Metric,C1525,11,https://jlcpcb.com/partdetail/1877-CL05B104KO5NNNC/C1525
W25Q16JVUXIQ Flash,W25Q16JVZPIQTR,U3,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,C2843335,1,https://jlcpcb.com/partdetail/WinbondElec-W25Q16JVUXIQ/C2843335
KT-0603R LED,LED,D2,LED_0603_1608Metric,C2286,1,https://jlcpcb.com/partdetail/Hubei_KENTOElec-KT0603R/C2286
402WGF1002TC,10k,"R6,R9",R_0402_1005Metric,C25744,2,https://jlcpcb.com/partdetail/26487-0402WGF1002TCE/C25744
TYPE-C-31-M-12 USB-C port,USB_C_Receptacle_USB2.0_14P,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1,https://jlcpcb.com/partdetail/Korean_HropartsElec-TYPE_C_31_M12/C165948
TS-1088-AR02016,SW_Push,SW1,SW_Push_SPST_NO_Alps_SKRK,C720477,1,https://jlcpcb.com/partdetail/XUNPU-TS_1088AR02016/C720477
